ten_dn,ten_chi_nhanh,dia_chi,trang_thai,khu_vuc
Life4cuts,Life4cuts - Chi nhánh 4,"Tầng B1, TTTM Vincom Mega Mall Times City, 458 Minh Khai, Quận Hai Bà Trưng, Hà Nội",Dang hoat dong,
Life4cuts,Life4cuts - Chi nhánh 5,"162A, phố Chùa Láng, P. Láng Thượng, Quận Đống Đa, Hà Nội",Dang hoat dong,
Life4cuts,Life4cuts - Chi nhánh 6,"C003 The Manor, Đường Mễ Trì, P. Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",Dang hoat dong,
Life4cuts,Life4cuts - Chi nhánh 7,"Số 1 Ngõ 62 Đặng Văn Ngữ, P. Phương Liên, Quận Đống Đa, Hà Nội",Dang hoat dong,
Life4cuts,Life4cuts - Chi nhánh 8,"Tầng B2-R1, Vincom Mega Mall Royal City, Số 72 Nguyễn Trãi , Quận Thanh Xuân, Hà Nội",Dang hoat dong,
Life4cuts,Life4cuts - Chi nhánh 9,"90 Phố Triều Khúc, P. Tân Triều, Quận Thanh Trì, Hà Nội",Dang hoat dong,
Life4cuts,Life4cuts - Chi nhánh 10,"Tầng Trệt - TTTM Indochina Mall, 74 Bạch Đằng, Quận Hải Châu, Đà Nẵng",Dang hoat dong,
Life4cuts,Life4cuts - Chi nhánh 11,"208 Bạch Đằng, Quận Hải Châu, Đà Nẵng",Dang hoat dong,
Life4cuts,Life4cuts - Chi nhánh 12,"Tầng 3, AEON MALL Hải Phòng Lê Chân, 10 Võ Nguyên Giáp, P. Dư Hàng Kênh, Quận Lê Chân, Hải Phòng",Dang hoat dong,
Life4cuts,Life4cuts - Chi nhánh 13,"9 Công Nữ Ngọc Hoa, P. Minh An, Thành phố Hội An, Quảng Nam",Dang hoat dong,
Life4cuts,Life4cuts - Chi nhánh 14,"Tầng 7 Gold Coast, số 01 Trần Hưng Đạo, P. Lộc Thọ, Thành phố Nha Trang, Khánh Hòa",Dang hoat dong,
Life4cuts,Life4cuts - Chi nhánh 15,"Tầng 1, TTMS Aeon Bình Dương Canary, Số 1, Đại lộ Bình Dương, Khu phố Bình Giao, P. Thuận Giao, Thành Phố Thuận An, Bình Dương",Dang hoat dong,
Bảo tàng Làng Chài Xưa,Bảo tàng Làng Chài Xưa - Chi nhánh 1,"Địa điểm tư vấn mua voucher: Tầng 12A Tòa văn phòng - TTTM ROX Tower Goldmark City 136 Hồ Tùng Mậu, phường Phú Diễn, Hà Nội",Dang hoat dong,
Khu vui chơi B-Zone,Khu vui chơi B-Zone - Chi nhánh 1,"L2- 29 Vincom Mega Mall Ocean City tại thửa đất số 1128, tờ bản đồ số 05 KĐT Dream City xã Nghĩa Trụ tỉnh Hưng Yên",Dang hoat dong,
City Sightseeing,City Sightseeing - Chi nhánh 1,Quầy kiosk màu đỏ với logo City Sightseeing: Cổng công viên Sunworld Hạ Long,Dang hoat dong,
City Sightseeing,City Sightseeing - Chi nhánh 2,"Quầy kiosk màu đỏ với logo City Sightseeing Sài Gòn tại Nhà hát Thành Phố - Số 7 Công Trường Lam Sơn, Phường Sài Gòn, TP. Hồ Chí Minh",Dang hoat dong,
City Sightseeing,City Sightseeing - Chi nhánh 3,"Địa điểm tư vấn mua voucher: Số 122 Nguyễn Hoàng, phường Bình Trưng, TP.Hồ Chí Minh",Dang hoat dong,
City Sightseeing,City Sightseeing - Chi nhánh 4,"Quầy bán vé màu đỏ logo City Sightseeing bên trong Trạm Thông Tin và Hỗ Trợ Khách Du Lịch (Công viên 23/9, góc đường Đề Thám - Phạm Ngũ Lão)",Dang hoat dong,
